,日期,自營商,投信,外資
2,107/03/31,78,-53,83
3,107/03/30,0,-752,2627
4,107/03/29,122,-1292,-2161
5,107/03/28,0,-3243,339
6,107/03/27,0,143,1212
7,107/03/26,0,-1378,-1869
8,107/03/23,0,-5475,-509
9,107/03/22,0,-146,1285
10,107/03/21,-1100,-1104,3069
11,107/03/20,-1100,683,1311
12,107/03/19,0,254,489
13,107/03/16,0,-1664,-332
14,107/03/15,0,-265,354
15,107/03/14,600,-520,205
16,107/03/13,0,5736,2026
17,107/03/12,500,3642,3847
18,107/03/09,0,998,-155
19,107/03/08,0,187,2041
20,107/03/07,0,-606,434
21,107/03/06,-850,1908,2360
22,107/03/05,0,452,-1036
23,107/03/02,0,439,-2827
24,107/03/01,0,-533,-930
2,107/02/27,0,-275,5497
3,107/02/26,0,-511,1377
4,107/02/23,550,330,46
5,107/02/22,0,-1356,-1511
6,107/02/21,1100,2311,-3518
7,107/02/12,-300,-947,-4097
8,107/02/09,0,-236,-7121
9,107/02/08,0,-341,-2581
10,107/02/07,0,-1865,-2829
11,107/02/06,-1100,-1403,-17799
12,107/02/05,-815,-760,-3784
13,107/02/02,0,261,-1960
14,107/02/01,0,109,387
