,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,-12,0,10,0 7,0,0 5,0.25%,0.00%,0,13.42,13.44,13.37,13.41,0.06,0.45%,23,308,0
1,107/05/04,0,-1,0,10,-4 6,0,0 3,0.25%,0.00%,0,13.54,13.54,13.31,13.35,-0.15,-1.11%,33,443,0
2,107/05/03,0,53,0,14,0 3,0,0 8,0.35%,0.00%,0,13.64,13.67,13.47,13.5,-0.04,-0.30%,181,2466,0
3,107/05/02,0,3,0,14,0 0,0,0 8,0.35%,0.00%,0,13.44,13.58,13.44,13.54,0.1,0.74%,21,284,0
4,107/04/30,0,-25,0,14,4 8,0,0 7,0.35%,0.00%,0,13.56,13.56,13.43,13.44,0.18,1.36%,28,377,0
5,107/04/30,0,-25,0,14,4 7,0,0 5,0.35%,0.00%,0,13.56,13.56,13.43,13.44,0.18,1.36%,28,377,0
8,107/04/27,0,-9,0,10,0 0,0,0 4,0.25%,0.00%,0,13.19,13.41,13.19,13.26,0.07,0.53%,18,239,0
9,107/04/27,0,-9,0,10,0 6,0,0 3,0.25%,0.00%,0,13.19,13.41,13.19,13.26,0.07,0.53%,18,239,0
12,107/04/26,0,-54,0,10,0 9,0,0 8,0.25%,0.00%,0,13.51,13.6,13.16,13.19,-0.31,-2.30%,67,892,0
13,107/04/26,0,-54,0,10,0 3,0,0 8,0.25%,0.00%,0,13.51,13.6,13.16,13.19,-0.31,-2.30%,67,892,0
16,107/04/25,0,8,0,10,3 4,0,0 10,0.25%,0.00%,0,13.59,13.59,13.34,13.5,-0.09,-0.66%,93,1247,0
17,107/04/25,0,8,0,10,3 0,0,0 8,0.25%,0.00%,0,13.59,13.59,13.34,13.5,-0.09,-0.66%,93,1247,0
20,107/04/24,0,-70,0,7,-1 9,0,0 1,0.18%,0.00%,0,13.95,13.95,13.44,13.59,-0.57,-4.03%,183,2494,0
21,107/04/24,0,-70,0,7,-1 8,0,0 7,0.18%,0.00%,0,13.95,13.95,13.44,13.59,-0.57,-4.03%,183,2494,0
24,107/04/23,0,48,0,8,0 9,0,0 4,0.20%,0.00%,0,14.48,14.48,14.12,14.16,-0.25,-1.73%,188,2677,0
25,107/04/23,0,48,0,8,0 0,0,0 4,0.20%,0.00%,0,14.48,14.48,14.12,14.16,-0.25,-1.73%,188,2677,0
28,107/04/20,0,17,0,8,0 5,0,0 8,0.20%,0.00%,0,14.55,14.55,14.41,14.41,-0.11,-0.76%,87,1259,0
29,107/04/20,0,17,0,8,0 9,0,0 8,0.20%,0.00%,0,14.55,14.55,14.41,14.41,-0.11,-0.76%,87,1259,0
32,107/04/19,0,27,0,8,0 1,0,0 6,0.20%,0.00%,0,14.46,14.62,14.46,14.52,0.07,0.48%,41,596,0
33,107/04/19,0,27,0,8,0 4,0,0 10,0.20%,0.00%,0,14.46,14.62,14.46,14.52,0.07,0.48%,41,596,0
36,107/04/18,0,60,0,8,0 5,0,0 3,0.20%,0.00%,0,14.5,14.56,14.36,14.45,-0.05,-0.34%,118,1704,0
37,107/04/18,0,60,0,8,0 9,0,0 1,0.20%,0.00%,0,14.5,14.56,14.36,14.45,-0.05,-0.34%,118,1704,0
40,107/04/17,0,-17,0,8,-4 6,0,0 6,0.20%,0.00%,0,14.75,14.75,14.5,14.5,-0.28,-1.89%,50,729,0
41,107/04/17,0,-17,0,8,-4 9,0,0 4,0.20%,0.00%,0,14.75,14.75,14.5,14.5,-0.28,-1.89%,50,729,0
